destino_limpio,n_predios,sup_construida_total_m2,pisos_mediana,valor_m2_mediana,pct_predios,pct_sup_construida
Habitacional,22891,1517063.0,15.0,262029.0,0.5415937159892111,0.6716873617773961
Estacionamiento,9587,133417.0,16.0,266986.0,0.226825344248332,0.05907105555026709
Bodega / Almacenaje,8541,66466.0,16.0,272168.0,0.2020773198315431,0.029428159666339767
Comercio,505,133259.0,1.0,266986.0,0.011948137983248947,0.059001100246393205
Oficina,319,62514.0,9.0,319031.0,0.007547437656745375,0.027678391559317006
Industria,200,197906.0,1.0,184750.0,0.004731935834950078,0.08762388840800767
Otro / sin clasificar,119,26307.0,1.0,194438.0,0.0028155018217952965,0.01164755809500196
Educación y cultura,51,47758.0,2.0,259551.0,0.00120664363791227,0.02114509748360146
Salud,38,52214.0,3.5,356319.5,0.0008990678086405148,0.023118014154880157
Deporte y recreación,7,5125.0,1.0,233866.0,0.00016561775422325274,0.002269119825023189
Transporte y telecom.,5,14015.0,2.0,293572.0,0.00011829839587375195,0.00620521255564878
Administración pública,3,2541.0,1.0,163121.0,7.097903752425118e-05,0.0011250406781236925
